"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000170631",106.933861185241,-0.0680267292947032,0.177785805780677,-0.382633073523448,0.701991844007192,0.7868843776223
"ENSG00000214756",36.6165792388563,0.110555859585806,0.289014535842803,0.382526986967666,0.702070515450306,0.786912712503355
"ENSG00000101146",500.229691265546,0.0321529668061896,0.0840880919253959,0.38237241528463,0.702185148105861,0.786981346979785
"ENSG00000106927",1.4878495656211,-0.559791422367575,1.46482153743289,-0.382156739276657,0.702345107958173,0.787100768085131
"ENSG00000143889",835.65663518783,0.0268451349101939,0.0702809791022846,0.381968709785964,0.702484574049568,0.787197205926288
"ENSG00000244187",121.547498120819,-0.0627900221268752,0.164500362387584,-0.38170142129495,0.702682845727694,0.787359521047271
"ENSG00000278888",2.38008946654021,0.428294560899426,1.12274985982128,0.381469262412201,0.702855075063358,0.787492633136975
"ENSG00000219607",10.6928390160803,-0.204941105524571,0.537646111382131,-0.381182159018555,0.703068086616232,0.787667137400097
"ENSG00000196670",153.677489383619,0.0560888965220071,0.147170423719147,0.381115275097967,0.703117713369227,0.787667137400097
"ENSG00000164197",1.29737521823637,0.59853288908369,1.57253810206865,0.380615826285118,0.70348833603464,0.78802242885753
"ENSG00000151376",86.3155669829366,0.0734637428702746,0.193143528450552,0.380358293439185,0.703679469262437,0.788063471140662
"ENSG00000176381",0.870836977342786,-0.716041020536218,1.88344788475431,-0.380175648252473,0.703815034442995,0.788063471140662
"ENSG00000167011",0.870836977342786,-0.716041020536218,1.88344788475431,-0.380175648252473,0.703815034442995,0.788063471140662
"ENSG00000157423",0.870836977342786,-0.716041020536218,1.88344788475431,-0.380175648252473,0.703815034442995,0.788063471140662
"ENSG00000174898",0.870836977342786,-0.716041020536218,1.88344788475431,-0.380175648252473,0.703815034442995,0.788063471140662
"ENSG00000215277",1.29424575793559,0.592080403701026,1.55785150736533,0.380062156695771,0.703899276299069,0.788063471140662
"ENSG00000105642",1.29424575793559,0.592080403701026,1.55785150736533,0.380062156695771,0.703899276299069,0.788063471140662
"ENSG00000111271",241.527045452664,0.0464707021398947,0.122704753722901,0.378719656166196,0.704896055292673,0.789119488257001
"ENSG00000182196",3.32178461745712,0.39538778351898,1.04431656767504,0.378609126540268,0.704978143870302,0.789151441923175
"ENSG00000147443",1.18896538903887,-0.599287527819488,1.58350608185053,-0.378456094793867,0.705091803760583,0.789185098876048
"ENSG00000198039",27.2190878692677,0.130735403002509,0.345472926545035,0.378424452271708,0.70511530614736,0.789185098876048
"ENSG00000100084",177.368178719546,0.0511720867218808,0.1352752536527,0.378281210643728,0.705221701949712,0.789244243551891
"ENSG00000203756",1.9212998845867,-0.485984621034192,1.28578804691897,-0.377966354718196,0.705455588226651,0.789446048540955
"ENSG00000167077",6.77307522017033,-0.254055684261407,0.672757355122996,-0.377633454806243,0.705702908497412,0.789662855169301
"ENSG00000068885",160.346402878305,0.0532942689662851,0.141196352934863,0.377447914613424,0.705840764777424,0.78975715087228
